Iteration;Newick
495;(((((A,(B)#R0))#R1,#H0),#H1));
496;((((B)#R1)#R0,((A,#H1),#H0)));
497;((((B)#R1)#R0,((A,#H0),#H1)));
498;((((B)#R0,((A,#H0))#R1),#H1));
499;((((A)#R1)#R0,(B,(#H0,#H1))));
500;((((B,#H1))#R0,((A)#R1,#H0)));
501;(((#H0,#H1),(((B)#R0)#R1,A)));
502;(((((B)#R0,(#H0)#R1),A),#H1));
503;((((B)#R0)#R1,(A,(#H0,#H1))));
504;((((A)#R1)#R0,((B,#H0),#H1)));
505;((B,((((A)#R0)#R1,#H0),#H1)));
506;(((((B)#R0)#R1,#H0),(A,#H1)));
507;(((A,#H1),((B)#R0,(#H0)#R1)));
508;(((A)#R1,((B,(#H1)#R0),#H0)));
